pathway,Biodomain
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE,Structural Stabilization
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN,Mitochondrial Metabolism
GOCC_ELONGATOR_HOLOENZYME_COMPLEX,unknown
GOCC_PWP2P_CONTAINING_SUBCOMPLEX_OF_90S_PRERIBOSOME,unknown
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX,unknown
GOCC_EXON_EXON_JUNCTION_COMPLEX,unknown
GOCC_AZUROPHIL_GRANULE_MEMBRANE,unknown
GOCC_CD40_RECEPTOR_COMPLEX,Immune Response
GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX,unknown
GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX,unknown
GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK,unknown
GOCC_NUCLEAR_RNA_EXPORT_FACTOR_COMPLEX,unknown
GOCC_PARASPECKLES,unknown
GOCC_MCM_COMPLEX,unknown
GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE,unknown
GOCC_MITOCHONDRIA_ASSOCIATED_ENDOPLASMIC_RETICULUM_MEMBRANE,Mitochondrial Metabolism
GOCC_BASAL_CORTEX,unknown
GOCC_PHAGOCYTIC_VESICLE,Endolysosome
GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,unknown
GOCC_RECYCLING_ENDOSOME_MEMBRANE,Endolysosome
GOCC_BRCA1_A_COMPLEX,unknown
GOCC_HAUS_COMPLEX,unknown
GOCC_POST_MRNA_RELEASE_SPLICEOSOMAL_COMPLEX,RNA Spliceosome
GOCC_TRANSLOCON_COMPLEX,unknown
GOCC_ELASTIC_FIBER,Structural Stabilization
GOCC_RAGULATOR_COMPLEX,unknown
GOCC_ER_MEMBRANE_INSERTION_COMPLEX,unknown
GOCC_EMC_COMPLEX,unknown
GOCC_BOX_H_ACA_RNP_COMPLEX,unknown
GOCC_BOX_H_ACA_TELOMERASE_RNP_COMPLEX,unknown
GOCC_TETRASPANIN_ENRICHED_MICRODOMAIN,Lipid Metabolism
GOCC_CYTOPLASMIC_SIDE_OF_APICAL_PLASMA_MEMBRANE,Structural Stabilization
GOCC_SYNAPTONEMAL_STRUCTURE,Synapse
GOCC_POSTSYNAPTIC_CYTOSOL,Synapse
GOCC_NUCLEOLAR_EXOSOME_RNASE_COMPLEX,unknown
GOCC_CHAPERONE_COMPLEX,Proteostasis
GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE,unknown
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,Proteostasis
GOCC_PEPTIDASE_COMPLEX,unknown
GOCC_ENDOPEPTIDASE_COMPLEX,unknown
GOCC_MITOTIC_SPINDLE_MIDZONE,Cell Cycle
GOMF_DNA_SECONDARY_STRUCTURE_BINDING,Epigenetic
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING,DNA Repair
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,unknown
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY,Proteostasis
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING,unknown
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING,unknown
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING,unknown
GOMF_TRANSCRIPTION_COREGULATOR_BINDING,unknown
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY,unknown
GOMF_LIPOPOLYSACCHARIDE_BINDING,Immune Response
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY,unknown
GOMF_ATPASE_ACTIVATOR_ACTIVITY,unknown
GOMF_DNA_HELICASE_ACTIVITY,unknown
GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING,unknown
GOMF_TELOMERASE_ACTIVITY,unknown
GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY,Proteostasis
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY,unknown
GOMF_G_PROTEIN_ACTIVITY,unknown
GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY,Cell Cycle
GOMF_ADENYLATE_KINASE_ACTIVITY,unknown
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY,unknown
GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY,unknown
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY,Lipid Metabolism
GOMF_DNA_ENDONUCLEASE_ACTIVITY,unknown
GOMF_BETA_N_ACETYLHEXOSAMINIDASE_ACTIVITY,unknown
GOMF_PHOSPHOLIPASE_D_ACTIVITY,Lipid Metabolism
GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY,Cell Cycle
GOMF_COMPLEMENT_RECEPTOR_ACTIVITY,Immune Response
GOMF_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_ACTIVITY,unknown
GOMF_SIGNAL_RECOGNITION_PARTICLE_BINDING,Proteostasis
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY,unknown
GOMF_SNAP_RECEPTOR_ACTIVITY,unknown
GOMF_STEROID_BINDING,Lipid Metabolism
GOMF_VITAMIN_D_BINDING,unknown
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA,unknown
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,Proteostasis
GOMF_NUCLEOTIDASE_ACTIVITY,unknown
GOMF_PROTEIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,unknown
GOMF_COA_TRANSFERASE_ACTIVITY,unknown
GOMF_FUCOSYLTRANSFERASE_ACTIVITY,unknown
GOMF_JUN_KINASE_BINDING,unknown
GOMF_MICROTUBULE_SEVERING_ATPASE_ACTIVITY,unknown
GOMF_CROSSOVER_JUNCTION_DNA_ENDONUCLEASE_ACTIVITY,DNA Repair
GOMF_CHOLESTEROL_BINDING,Lipid Metabolism
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY,unknown
GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_3_PHOSPHATASE_ACTIVITY,Lipid Metabolism
GOMF_METALLOCHAPERONE_ACTIVITY,Metal Binding and Homeostasis
GOMF_COPPER_CHAPERONE_ACTIVITY,Metal Binding and Homeostasis
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR,unknown
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,Oxidative Stress
GOMF_TRANSKETOLASE_OR_TRANSALDOLASE_ACTIVITY,unknown
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY,unknown
GOMF_ACID_THIOL_LIGASE_ACTIVITY,unknown
GOMF_ENDODEOXYRIBONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS,unknown
GOMF_DNA_ENDONUCLEASE_ACTIVITY_PRODUCING_3_PHOSPHOMONOESTERS,unknown
GOMF_ENDONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_3_PHOSPHOMONOESTERS,unknown
GOMF_TBP_CLASS_PROTEIN_BINDING,unknown
GOMF_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY,DNA Repair
GOMF_WNT_PROTEIN_BINDING,unknown
GOMF_ALKANE_1_MONOOXYGENASE_ACTIVITY,unknown
GOMF_GDP_BINDING,unknown
GOMF_RRNA_BINDING,unknown
GOMF_POTASSIUM_CHANNEL_INHIBITOR_ACTIVITY,Synapse
GOMF_MANGANESE_ION_BINDING,Metal Binding and Homeostasis
GOMF_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY,unknown
GOMF_HSP70_PROTEIN_BINDING,unknown
GOMF_CGMP_BINDING,unknown
GOMF_BETA_2_MICROGLOBULIN_BINDING,unknown
GOMF_MISMATCHED_DNA_BINDING,DNA Repair
GOMF_HEAT_SHOCK_PROTEIN_BINDING,unknown
GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_BINDING,unknown
GOMF_PEPTIDYL_PROLINE_4_DIOXYGENASE_ACTIVITY,unknown
GOMF_MISMATCH_REPAIR_COMPLEX_BINDING,unknown
GOMF_MUTSALPHA_COMPLEX_BINDING,unknown
GOMF_STEROL_BINDING,Lipid Metabolism
GOMF_MEMBRANE_INSERTASE_ACTIVITY,unknown
GOMF_AMIDE_BINDING,unknown
GOMF_DYNACTIN_BINDING,unknown
GOMF_CHONDROITIN_SULFOTRANSFERASE_ACTIVITY,unknown
GOMF_BOX_H_ACA_SNORNA_BINDING,unknown
GOMF_PROTEASOME_ACTIVATING_ACTIVITY,Proteostasis
GOMF_K48_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING,Proteostasis
GOMF_PEPTIDE_BINDING,unknown
GOMF_WNT_RECEPTOR_ACTIVITY,unknown
GOMF_RIBOSOME_BINDING,Proteostasis
GOMF_KINETOCHORE_BINDING,unknown
GOMF_LEUCINE_ZIPPER_DOMAIN_BINDING,unknown
GOMF_PROTEIN_FOLDING_CHAPERONE,Proteostasis
GOMF_SMAD_BINDING,unknown
GOMF_SPHINGOLIPID_BINDING,Lipid Metabolism
GOMF_VIRION_BINDING,unknown
GOMF_ER_RETENTION_SEQUENCE_BINDING,unknown
GOMF_GLYCINE_N_ACYLTRANSFERASE_ACTIVITY,unknown
GOMF_FLAP_ENDONUCLEASE_ACTIVITY,unknown
GOMF_NUCLEAR_ANDROGEN_RECEPTOR_BINDING,unknown
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,Lipid Metabolism
GOMF_GDP_DISSOCIATION_INHIBITOR_BINDING,unknown
GOMF_UNFOLDED_PROTEIN_BINDING,Proteostasis
GOMF_CHAPERONE_BINDING,Proteostasis
GOMF_ATPASE_BINDING,unknown
GOMF_MISFOLDED_PROTEIN_BINDING,Proteostasis
GOMF_ATPASE_REGULATOR_ACTIVITY,unknown
GOMF_CHROMO_SHADOW_DOMAIN_BINDING,unknown
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,Lipid Metabolism
GOMF_NADPH_BINDING,unknown
GOMF_ADENYLYLTRANSFERASE_ACTIVITY,unknown
GOMF_E_BOX_BINDING,Epigenetic
GOMF_CERAMIDE_BINDING,Lipid Metabolism
GOMF_STRUCTURAL_CONSTITUENT_OF_PRESYNAPTIC_ACTIVE_ZONE,Synapse
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY,Lipid Metabolism
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA,unknown
GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING,unknown
GOMF_PROTEIN_TRANSPORTER_ACTIVITY,unknown
GOMF_DNA_DAMAGE_SENSOR_ACTIVITY,unknown
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE,Proteostasis
GOMF_CATECHOLAMINE_BINDING,unknown
GOMF_OLEATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,Lipid Metabolism
GOMF_STEROID_HORMONE_BINDING,Lipid Metabolism
GOMF_UBIQUITIN_SPECIFIC_PROTEASE_BINDING,Proteostasis
GOMF_SPLICING_FACTOR_BINDING,RNA Spliceosome
