ONTOLOGY,ID,pathway,Biodomain
BP,GO:0031498,chromatin disassembly,Epigenetic
BP,GO:0042116,macrophage activation,Immune Response
BP,GO:0016925,protein sumoylation,none
BP,GO:0033013,tetrapyrrole metabolic process,none
BP,GO:0042730,fibrinolysis,none
BP,GO:0032743,positive regulation of interleukin-2 production,Immune Response
BP,GO:0034101,erythrocyte homeostasis,Immune Response
BP,GO:0060760,positive regulation of response to cytokine stimulus,Immune Response
BP,GO:0036151,phosphatidylcholine acyl-chain remodeling,Lipid Metabolism
BP,GO:0042159,lipoprotein catabolic process,Lipid Metabolism
BP,GO:0043551,regulation of phosphatidylinositol 3-kinase activity,Lipid Metabolism
BP,GO:0010635,regulation of mitochondrial fusion,Mitochondrial Metabolism
BP,GO:0032288,myelin assembly,Myelination
BP,GO:0006111,regulation of gluconeogenesis,none
BP,GO:0009066,aspartate family amino acid metabolic process,none
BP,GO:0032092,positive regulation of protein binding,none
BP,GO:0051503,adenine nucleotide transport,none
BP,GO:0071219,cellular response to molecule of bacterial origin,none
BP,GO:0090278,negative regulation of peptide hormone secretion,none
BP,GO:1900037,regulation of cellular response to hypoxia,none
BP,GO:1903960,negative regulation of anion transmembrane transport,none
BP,GO:1904037,positive regulation of epithelial cell apoptotic process,none
BP,GO:1904427,positive regulation of calcium ion transmembrane transport,none
BP,GO:2000378,negative regulation of reactive oxygen species metabolic process,Oxidative Stress
BP,GO:1900025,negative regulation of substrate adhesion-dependent cell spreading,Structural Stabilization
CC,GO:0034705,potassium channel complex,Synapse
CC,GO:0044815,DNA packaging complex,Cell Cycle
BP,GO:0045787,positive regulation of cell cycle,Cell Cycle
BP,GO:2000641,regulation of early endosome to late endosome transport,Endolysosome
BP,GO:0030101,natural killer cell activation,Immune Response
BP,GO:0050871,positive regulation of B cell activation,Immune Response
BP,GO:0030520,intracellular estrogen receptor signaling pathway,Lipid Metabolism
BP,GO:0051561,positive regulation of mitochondrial calcium ion concentration,Mitochondrial Metabolism
BP,GO:0002864,regulation of acute inflammatory response to antigenic stimulus,none
MF,GO:0016500,protein-hormone receptor activity,none
BP,GO:0048368,lateral mesoderm development,none
BP,GO:0071300,cellular response to retinoic acid,none
BP,GO:1902806,regulation of cell cycle G1/S phase transition,Cell Cycle
BP,GO:0009649,entrainment of circadian clock,none
MF,GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor",none
BP,GO:0021978,telencephalon regionalization,none
BP,GO:0031468,nuclear envelope reassembly,none
BP,GO:0031958,corticosteroid receptor signaling pathway,none
BP,GO:0045670,regulation of osteoclast differentiation,none
BP,GO:1901657,glycosyl compound metabolic process,none
BP,GO:1902373,negative regulation of mRNA catabolic process,none
BP,GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",Proteostasis
MF,GO:0022839,ion gated channel activity,Synapse
BP,GO:0043550,regulation of lipid kinase activity,Lipid Metabolism
BP,GO:0030903,notochord development,none
BP,GO:0044003,modulation by symbiont of host process,none
BP,GO:0090279,regulation of calcium ion import,none
BP,GO:0098814,spontaneous synaptic transmission,Synapse
BP,GO:1900452,regulation of long-term synaptic depression,Synapse
BP,GO:0019372,lipoxygenase pathway,Lipid Metabolism
BP,GO:0032816,positive regulation of natural killer cell activation,none
BP,GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway,none
BP,GO:0034393,positive regulation of smooth muscle cell apoptotic process,none
BP,GO:0051235,maintenance of location,none
BP,GO:0071605,monocyte chemotactic protein-1 production,none
BP,GO:0071637,regulation of monocyte chemotactic protein-1 production,none
BP,GO:0086026,atrial cardiac muscle cell to AV node cell signaling,none
MF,GO:0000900,"translation repressor activity, mRNA regulatory element binding",Proteostasis
BP,GO:0035966,response to topologically incorrect protein,Proteostasis
BP,GO:0086014,atrial cardiac muscle cell action potential,Vasculature
BP,GO:0086066,atrial cardiac muscle cell to AV node cell communication,Vasculature
BP,GO:0070228,regulation of lymphocyte apoptotic process,Apoptosis
BP,GO:1903146,regulation of autophagy of mitochondrion,Autophagy
BP,GO:0002467,germinal center formation,Immune Response
BP,GO:1903146,regulation of autophagy of mitochondrion,Mitochondrial Metabolism
BP,GO:0002347,response to tumor cell,none
BP,GO:0003009,skeletal muscle contraction,none
MF,GO:0008252,nucleotidase activity,none
BP,GO:0010649,regulation of cell communication by electrical coupling,none
BP,GO:0035330,regulation of hippo signaling,none
BP,GO:0035773,insulin secretion involved in cellular response to glucose stimulus,none
MF,GO:1990782,protein tyrosine kinase binding,none
BP,GO:0006801,superoxide metabolic process,Oxidative Stress
BP,GO:0002679,respiratory burst involved in defense response,Immune Response
BP,GO:1900016,negative regulation of cytokine production involved in inflammatory response,Immune Response
BP,GO:0001885,endothelial cell development,none
BP,GO:0003214,cardiac left ventricle morphogenesis,none
BP,GO:0021591,ventricular system development,none
BP,GO:0032604,granulocyte macrophage colony-stimulating factor production,none
BP,GO:0046323,glucose import,none
MF,GO:0004842,ubiquitin-protein transferase activity,Proteostasis
BP,GO:0097104,postsynaptic membrane assembly,Synapse
BP,GO:0048844,artery morphogenesis,Vasculature
BP,GO:0031645,negative regulation of nervous system process,none
CC,GO:0045178,basal part of cell,none
BP,GO:1904888,cranial skeletal system development,none
BP,GO:1990928,response to amino acid starvation,none
CC,GO:0030285,integral component of synaptic vesicle membrane,Synapse
BP,GO:0097756,negative regulation of blood vessel diameter,Vasculature
BP,GO:0002720,positive regulation of cytokine production involved in immune response,Immune Response
MF,GO:0034987,immunoglobulin receptor binding,Immune Response
BP,GO:0050715,positive regulation of cytokine secretion,Immune Response
BP,GO:0070672,response to interleukin-15,Immune Response
BP,GO:0036109,alpha-linolenic acid metabolic process,Lipid Metabolism
BP,GO:0045834,positive regulation of lipid metabolic process,Lipid Metabolism
BP,GO:0003338,metanephros morphogenesis,none
BP,GO:0007567,parturition,none
MF,GO:0008139,nuclear localization sequence binding,none
CC,GO:0016529,sarcoplasmic reticulum,none
BP,GO:0033003,regulation of mast cell activation,none
BP,GO:0043576,regulation of respiratory gaseous exchange,none
BP,GO:0045621,positive regulation of lymphocyte differentiation,none
BP,GO:2000036,regulation of stem cell population maintenance,none
BP,GO:0035967,cellular response to topologically incorrect protein,Proteostasis
CC,GO:0071014,post-mRNA release spliceosomal complex,RNA Spliceosome
BP,GO:0031581,hemidesmosome assembly,Structural Stabilization
MF,GO:0015276,ligand-gated ion channel activity,Synapse
MF,GO:0022834,ligand-gated channel activity,Synapse
BP,GO:0086064,cell communication by electrical coupling involved in cardiac conduction,Vasculature
BP,GO:1904738,vascular associated smooth muscle cell migration,Vasculature
BP,GO:1904752,regulation of vascular associated smooth muscle cell migration,Vasculature
BP,GO:0033032,regulation of myeloid cell apoptotic process,Apoptosis
BP,GO:1904356,regulation of telomere maintenance via telomere lengthening,Epigenetic
BP,GO:0002285,lymphocyte activation involved in immune response,Immune Response
MF,GO:0000146,microfilament motor activity,none
BP,GO:0006930,"substrate-dependent cell migration, cell extension",none
BP,GO:0042307,positive regulation of protein import into nucleus,none
BP,GO:0060251,regulation of glial cell proliferation,none
BP,GO:2000647,negative regulation of stem cell proliferation,none
BP,GO:0034976,response to endoplasmic reticulum stress,Proteostasis
BP,GO:0001974,blood vessel remodeling,Vasculature
BP,GO:0043652,engulfment of apoptotic cell,Autophagy
BP,GO:1905168,positive regulation of double-strand break repair via homologous recombination,DNA Repair
BP,GO:0043652,engulfment of apoptotic cell,Endolysosome
BP,GO:0019218,regulation of steroid metabolic process,Lipid Metabolism
BP,GO:0001886,endothelial cell morphogenesis,none
CC,GO:0005685,U1 snRNP,none
BP,GO:0010862,positive regulation of pathway-restricted SMAD protein phosphorylation,none
CC,GO:0031082,BLOC complex,none
BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,none
BP,GO:0072015,glomerular visceral epithelial cell development,none
BP,GO:0098581,detection of external biotic stimulus,none
BP,GO:2000726,negative regulation of cardiac muscle cell differentiation,none
BP,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,Proteostasis
MF,GO:0005200,structural constituent of cytoskeleton,Structural Stabilization
BP,GO:0006968,cellular defense response,Immune Response
BP,GO:0010039,response to iron ion,Metal Binding and Homeostasis
BP,GO:0034982,mitochondrial protein processing,Mitochondrial Metabolism
MF,GO:0004867,serine-type endopeptidase inhibitor activity,none
CC,GO:0005819,spindle,none
MF,GO:0008574,"ATP-dependent microtubule motor activity, plus-end-directed",none
BP,GO:0032647,regulation of interferon-alpha production,none
BP,GO:0048557,embryonic digestive tract morphogenesis,none
BP,GO:0050802,"circadian sleep/wake cycle, sleep",none
BP,GO:0051350,negative regulation of lyase activity,none
BP,GO:0070206,protein trimerization,none
BP,GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,none
BP,GO:0072091,regulation of stem cell proliferation,none
BP,GO:0106057,negative regulation of calcineurin-mediated signaling,none
BP,GO:2001256,regulation of store-operated calcium entry,none
BP,GO:0034982,mitochondrial protein processing,Proteostasis
MF,GO:0005201,extracellular matrix structural constituent,Structural Stabilization
BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,Apoptosis
BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,DNA Repair
BP,GO:0006112,energy reserve metabolic process,Mitochondrial Metabolism
BP,GO:0006012,galactose metabolic process,none
BP,GO:0006397,mRNA processing,none
BP,GO:0010675,regulation of cellular carbohydrate metabolic process,none
BP,GO:0032096,negative regulation of response to food,none
BP,GO:0032099,negative regulation of appetite,none
BP,GO:0032885,regulation of polysaccharide biosynthetic process,none
BP,GO:0035313,"wound healing, spreading of epidermal cells",none
BP,GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,none
BP,GO:0046822,regulation of nucleocytoplasmic transport,none
MF,GO:0060590,ATPase regulator activity,none
BP,GO:0071277,cellular response to calcium ion,none
MF,GO:0005230,extracellular ligand-gated ion channel activity,Synapse
MF,GO:0005253,anion channel activity,Synapse
MF,GO:0019869,chloride channel inhibitor activity,Synapse
BP,GO:0051583,dopamine uptake involved in synaptic transmission,Synapse
BP,GO:0051934,catecholamine uptake involved in synaptic transmission,Synapse
BP,GO:0006622,protein targeting to lysosome,Endolysosome
BP,GO:0033006,regulation of mast cell activation involved in immune response,Immune Response
BP,GO:0050663,cytokine secretion,Immune Response
BP,GO:0031076,embryonic camera-type eye development,none
BP,GO:0048016,inositol phosphate-mediated signaling,none
BP,GO:0086069,bundle of His cell to Purkinje myocyte communication,none
BP,GO:2000515,"negative regulation of CD4-positive, alpha-beta T cell activation",Immune Response
BP,GO:0006778,porphyrin-containing compound metabolic process,none
BP,GO:0007260,tyrosine phosphorylation of STAT protein,none
MF,GO:0015491,cation:cation antiporter activity,none
BP,GO:0030212,hyaluronan metabolic process,none
BP,GO:0035988,chondrocyte proliferation,none
BP,GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity,none
BP,GO:0046174,polyol catabolic process,none
BP,GO:0048644,muscle organ morphogenesis,none
BP,GO:0060148,positive regulation of posttranscriptional gene silencing,none
BP,GO:0060231,mesenchymal to epithelial transition,none
BP,GO:0099622,cardiac muscle cell membrane repolarization,none
BP,GO:0019226,transmission of nerve impulse,Synapse
BP,GO:0097107,postsynaptic density assembly,Synapse
BP,GO:1903204,negative regulation of oxidative stress-induced neuron death,Apoptosis
BP,GO:1900373,positive regulation of purine nucleotide biosynthetic process,Cell Cycle
MF,GO:0015645,fatty acid ligase activity,Lipid Metabolism
BP,GO:0010332,response to gamma radiation,none
BP,GO:0030810,positive regulation of nucleotide biosynthetic process,none
BP,GO:0040014,regulation of multicellular organism growth,none
BP,GO:0042472,inner ear morphogenesis,none
BP,GO:0051349,positive regulation of lyase activity,none
BP,GO:0033194,response to hydroperoxide,Oxidative Stress
BP,GO:1903204,negative regulation of oxidative stress-induced neuron death,Oxidative Stress
BP,GO:0060080,inhibitory postsynaptic potential,Synapse
BP,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,Apoptosis
CC,GO:0000145,exocyst,none
BP,GO:0003151,outflow tract morphogenesis,none
CC,GO:0005667,transcription regulator complex,none
BP,GO:0030510,regulation of BMP signaling pathway,none
BP,GO:0045686,negative regulation of glial cell differentiation,none
BP,GO:1903793,positive regulation of anion transport,none
BP,GO:1990776,response to angiotensin,none
BP,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,Proteostasis
BP,GO:0033631,cell-cell adhesion mediated by integrin,Structural Stabilization
BP,GO:2000781,positive regulation of double-strand break repair,DNA Repair
BP,GO:1902894,negative regulation of pri-miRNA transcription by RNA polymerase II,Epigenetic
MF,GO:0046625,sphingolipid binding,Lipid Metabolism
BP,GO:0000413,protein peptidyl-prolyl isomerization,none
MF,GO:0005310,dicarboxylic acid transmembrane transporter activity,none
BP,GO:0021535,cell migration in hindbrain,none
MF,GO:0031435,mitogen-activated protein kinase kinase kinase binding,none
BP,GO:0032330,regulation of chondrocyte differentiation,none
BP,GO:0035264,multicellular organism growth,none
BP,GO:0042454,ribonucleoside catabolic process,none
BP,GO:0050961,detection of temperature stimulus involved in sensory perception,none
BP,GO:0051592,response to calcium ion,none
BP,GO:0060765,regulation of androgen receptor signaling pathway,none
CC,GO:0098687,chromosomal region,none
BP,GO:0110111,negative regulation of animal organ morphogenesis,none
MF,GO:0005172,vascular endothelial growth factor receptor binding,Immune Response
BP,GO:0003298,physiological muscle hypertrophy,none
BP,GO:0003301,physiological cardiac muscle hypertrophy,none
BP,GO:0003407,neural retina development,none
BP,GO:0007004,telomere maintenance via telomerase,none
BP,GO:0045628,regulation of T-helper 2 cell differentiation,none
BP,GO:0060021,roof of mouth development,none
BP,GO:0061049,cell growth involved in cardiac muscle cell development,none
MF,GO:0070851,growth factor receptor binding,none
BP,GO:2000677,regulation of transcription regulatory region DNA binding,none
MF,GO:0005172,vascular endothelial growth factor receptor binding,Vasculature
BP,GO:0042147,"retrograde transport, endosome to Golgi",Endolysosome
BP,GO:0002251,organ or tissue specific immune response,Immune Response
MF,GO:0005544,calcium-dependent phospholipid binding,Lipid Metabolism
BP,GO:0045833,negative regulation of lipid metabolic process,Lipid Metabolism
BP,GO:0001778,plasma membrane repair,none
BP,GO:0003209,cardiac atrium morphogenesis,none
BP,GO:0006779,porphyrin-containing compound biosynthetic process,none
MF,GO:0016849,phosphorus-oxygen lyase activity,none
BP,GO:0030206,chondroitin sulfate biosynthetic process,none
BP,GO:0030501,positive regulation of bone mineralization,none
BP,GO:0033014,tetrapyrrole biosynthetic process,none
BP,GO:0044058,regulation of digestive system process,none
BP,GO:0061371,determination of heart left/right asymmetry,none
BP,GO:1904526,regulation of microtubule binding,none
BP,GO:0071711,basement membrane organization,Structural Stabilization
BP,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,Synapse
BP,GO:0097202,activation of cysteine-type endopeptidase activity,Apoptosis
BP,GO:0042157,lipoprotein metabolic process,Lipid Metabolism
BP,GO:0000959,mitochondrial RNA metabolic process,Mitochondrial Metabolism
BP,GO:0003197,endocardial cushion development,none
MF,GO:0009975,cyclase activity,none
BP,GO:0060324,face development,none
BP,GO:0060479,lung cell differentiation,none
BP,GO:0071731,response to nitric oxide,none
BP,GO:1903959,regulation of anion transmembrane transport,none
BP,GO:0097202,activation of cysteine-type endopeptidase activity,Proteostasis
BP,GO:0045292,"mRNA cis splicing, via spliceosome",RNA Spliceosome
MF,GO:0017081,chloride channel regulator activity,Synapse
BP,GO:0007597,"blood coagulation, intrinsic pathway",Vasculature
BP,GO:0034134,toll-like receptor 2 signaling pathway,Immune Response
BP,GO:0033173,calcineurin-NFAT signaling cascade,none
BP,GO:0070986,left/right axis specification,none
CC,GO:0071437,invadopodium,none
BP,GO:2000392,regulation of lamellipodium morphogenesis,none
CC,GO:0099144,anchored component of synaptic membrane,Structural Stabilization
MF,GO:0005262,calcium channel activity,Synapse
CC,GO:0099144,anchored component of synaptic membrane,Synapse
BP,GO:0042100,B cell proliferation,Immune Response
CC,GO:0042571,"immunoglobulin complex, circulating",Immune Response
BP,GO:0046637,regulation of alpha-beta T cell differentiation,Immune Response
BP,GO:0022010,central nervous system myelination,Myelination
BP,GO:0032291,axon ensheathment in central nervous system,Myelination
MF,GO:0005179,hormone activity,none
MF,GO:0016405,CoA-ligase activity,none
MF,GO:0016866,intramolecular transferase activity,none
MF,GO:0019956,chemokine binding,none
BP,GO:0035812,renal sodium excretion,none
MF,GO:0051019,mitogen-activated protein kinase binding,none
BP,GO:1902116,negative regulation of organelle assembly,none
MF,GO:0008135,"translation factor activity, RNA binding",Proteostasis
BP,GO:0032291,axon ensheathment in central nervous system,Synapse
BP,GO:0050771,negative regulation of axonogenesis,Synapse
BP,GO:0009113,purine nucleobase biosynthetic process,Cell Cycle
BP,GO:1902969,mitotic DNA replication,Cell Cycle
BP,GO:0097006,regulation of plasma lipoprotein particle levels,Lipid Metabolism
MF,GO:0005402,carbohydrate:cation symporter activity,none
BP,GO:0006883,cellular sodium ion homeostasis,none
BP,GO:0022406,membrane docking,none
BP,GO:0030857,negative regulation of epithelial cell differentiation,none
BP,GO:0043507,positive regulation of JUN kinase activity,none
BP,GO:0044065,regulation of respiratory system process,none
BP,GO:0061217,regulation of mesonephros development,none
CC,GO:0022624,proteasome accessory complex,Proteostasis
BP,GO:0019054,modulation by virus of host cellular process,Immune Response
BP,GO:0006821,chloride transport,none
BP,GO:0010799,regulation of peptidyl-threonine phosphorylation,none
BP,GO:0035635,entry of bacterium into host cell,none
CC,GO:1902710,GABA receptor complex,Synapse
BP,GO:0071305,cellular response to vitamin D,Lipid Metabolism
CC,GO:0001931,uropod,none
BP,GO:0023035,CD40 signaling pathway,none
CC,GO:0031254,cell trailing edge,none
BP,GO:0043114,regulation of vascular permeability,Vasculature
BP,GO:0002828,regulation of type 2 immune response,Immune Response
BP,GO:0045579,positive regulation of B cell differentiation,Immune Response
BP,GO:0003382,epithelial cell morphogenesis,none
BP,GO:0015807,L-amino acid transport,none
MF,GO:0043274,phospholipase binding,none
BP,GO:0061548,ganglion development,none
BP,GO:0089718,amino acid import across plasma membrane,none
MF,GO:0030594,neurotransmitter receptor activity,Synapse
BP,GO:0002724,regulation of T cell cytokine production,Immune Response
BP,GO:0001709,cell fate determination,none
MF,GO:0005518,collagen binding,none
BP,GO:0014911,positive regulation of smooth muscle cell migration,none
BP,GO:0032682,negative regulation of chemokine production,none
BP,GO:0051283,negative regulation of sequestering of calcium ion,none
BP,GO:1900274,regulation of phospholipase C activity,none
BP,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,Apoptosis
BP,GO:0007084,mitotic nuclear envelope reassembly,Cell Cycle
BP,GO:0002708,positive regulation of lymphocyte mediated immunity,Immune Response
BP,GO:0000002,mitochondrial genome maintenance,Mitochondrial Metabolism
MF,GO:0008236,serine-type peptidase activity,none
BP,GO:0009950,dorsal/ventral axis specification,none
BP,GO:0034405,response to fluid shear stress,none
BP,GO:0043508,negative regulation of JUN kinase activity,none
BP,GO:0060221,retinal rod cell differentiation,none
MF,GO:0070016,armadillo repeat domain binding,none
BP,GO:0070099,regulation of chemokine-mediated signaling pathway,none
BP,GO:2000008,regulation of protein localization to cell surface,none
BP,GO:0048251,elastic fiber assembly,Structural Stabilization
BP,GO:0016242,negative regulation of macroautophagy,Autophagy
MF,GO:0023026,MHC class II protein complex binding,Immune Response
BP,GO:0046007,negative regulation of activated T cell proliferation,Immune Response
BP,GO:0009263,deoxyribonucleotide biosynthetic process,none
BP,GO:0019184,nonribosomal peptide biosynthetic process,none
BP,GO:0034505,tooth mineralization,none
BP,GO:0048520,positive regulation of behavior,none
BP,GO:0050930,induction of positive chemotaxis,none
BP,GO:0050999,regulation of nitric-oxide synthase activity,none
BP,GO:0090280,positive regulation of calcium ion import,none
BP,GO:1901722,regulation of cell proliferation involved in kidney development,none
BP,GO:1904031,positive regulation of cyclin-dependent protein kinase activity,none
BP,GO:1904321,response to forskolin,none
BP,GO:1904322,cellular response to forskolin,none
BP,GO:0035886,vascular associated smooth muscle cell differentiation,Vasculature
BP,GO:1902107,positive regulation of leukocyte differentiation,Immune Response
BP,GO:0014856,skeletal muscle cell proliferation,none
MF,GO:0015081,sodium ion transmembrane transporter activity,none
MF,GO:0016208,AMP binding,none
CC,GO:0061702,inflammasome complex,none
CC,GO:0097542,ciliary tip,none
MF,GO:0015248,sterol transporter activity,Lipid Metabolism
BP,GO:0005978,glycogen biosynthetic process,none
BP,GO:0009250,glucan biosynthetic process,none
BP,GO:0042634,regulation of hair cycle,none
BP,GO:0045428,regulation of nitric oxide biosynthetic process,none
BP,GO:0051937,catecholamine transport,none
BP,GO:0060317,cardiac epithelial to mesenchymal transition,none
BP,GO:0070229,negative regulation of lymphocyte apoptotic process,none
BP,GO:0072666,establishment of protein localization to vacuole,none
CC,GO:0099738,cell cortex region,Structural Stabilization
BP,GO:0002385,mucosal immune response,Immune Response
BP,GO:0006641,triglyceride metabolic process,Lipid Metabolism
BP,GO:0002832,negative regulation of response to biotic stimulus,none
BP,GO:0021545,cranial nerve development,none
MF,GO:0050661,NADP binding,none
BP,GO:0051897,positive regulation of protein kinase B signaling,none
BP,GO:0061028,establishment of endothelial barrier,none
BP,GO:1905332,positive regulation of morphogenesis of an epithelium,none
BP,GO:0070231,T cell apoptotic process,Apoptosis
BP,GO:0006020,inositol metabolic process,none
BP,GO:0030318,melanocyte differentiation,none
BP,GO:0030502,negative regulation of bone mineralization,none
MF,GO:0033691,sialic acid binding,none
MF,GO:0051371,muscle alpha-actinin binding,none
BP,GO:0051602,response to electrical stimulus,none
MF,GO:0070034,telomerase RNA binding,none
BP,GO:0098543,detection of other organism,none
BP,GO:0039692,single stranded viral RNA replication via double stranded DNA intermediate,Cell Cycle
BP,GO:0042921,glucocorticoid receptor signaling pathway,Lipid Metabolism
BP,GO:0006575,cellular modified amino acid metabolic process,none
BP,GO:0032371,regulation of sterol transport,none
BP,GO:0032402,melanosome transport,none
BP,GO:0032835,glomerulus development,none
BP,GO:0052646,alditol phosphate metabolic process,none
BP,GO:0090083,regulation of inclusion body assembly,none
BP,GO:0070936,protein K48-linked ubiquitination,Proteostasis
BP,GO:0034032,purine nucleoside bisphosphate metabolic process,Cell Cycle
BP,GO:0006563,L-serine metabolic process,none
CC,GO:0032433,filopodium tip,none
BP,GO:0033865,nucleoside bisphosphate metabolic process,none
BP,GO:0033875,ribonucleoside bisphosphate metabolic process,none
BP,GO:0044090,positive regulation of vacuole organization,none
CC,GO:0044615,nuclear pore nuclear basket,none
BP,GO:0044764,multi-organism cellular process,none
BP,GO:0046040,IMP metabolic process,none
BP,GO:0048148,behavioral response to cocaine,none
BP,GO:1901673,regulation of mitotic spindle assembly,Cell Cycle
BP,GO:0043011,myeloid dendritic cell differentiation,Immune Response
MF,GO:0005112,Notch binding,none
BP,GO:0010718,positive regulation of epithelial to mesenchymal transition,none
BP,GO:0010839,negative regulation of keratinocyte proliferation,none
BP,GO:0045623,negative regulation of T-helper cell differentiation,none
MF,GO:0050664,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",none
BP,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,none
BP,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,Structural Stabilization
CC,GO:0044292,dendrite terminus,Synapse
BP,GO:1903587,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,Vasculature
BP,GO:2001214,positive regulation of vasculogenesis,Vasculature
BP,GO:0097300,programmed necrotic cell death,Apoptosis
BP,GO:0007589,body fluid secretion,none
BP,GO:0042711,maternal behavior,none
MF,GO:0042813,Wnt-activated receptor activity,none
BP,GO:0046184,aldehyde biosynthetic process,none
BP,GO:0048384,retinoic acid receptor signaling pathway,none
BP,GO:0060746,parental behavior,none
BP,GO:1901739,regulation of myoblast fusion,none
BP,GO:1904030,negative regulation of cyclin-dependent protein kinase activity,none
BP,GO:0051054,positive regulation of DNA metabolic process,Cell Cycle
BP,GO:0090307,mitotic spindle assembly,Cell Cycle
BP,GO:0050860,negative regulation of T cell receptor signaling pathway,Immune Response
MF,GO:0016881,acid-amino acid ligase activity,none
BP,GO:0032098,regulation of appetite,none
BP,GO:0048566,embryonic digestive tract development,none
CC,GO:0098533,ATPase dependent transmembrane transport complex,none
BP,GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",Proteostasis
BP,GO:0006206,pyrimidine nucleobase metabolic process,Cell Cycle
BP,GO:0042772,"DNA damage response, signal transduction resulting in transcription",DNA Repair
BP,GO:0070106,interleukin-27-mediated signaling pathway,Immune Response
BP,GO:0042304,regulation of fatty acid biosynthetic process,Lipid Metabolism
CC,GO:0043220,Schmidt-Lanterman incisure,Myelination
MF,GO:0005080,protein kinase C binding,none
MF,GO:0005537,mannose binding,none
BP,GO:0044793,negative regulation by host of viral process,none
BP,GO:0051781,positive regulation of cell division,none
CC,GO:0060170,ciliary membrane,none
BP,GO:1904385,cellular response to angiotensin,none
BP,GO:1903209,positive regulation of oxidative stress-induced cell death,Oxidative Stress
BP,GO:0002438,acute inflammatory response to antigenic stimulus,Immune Response
BP,GO:0042759,long-chain fatty acid biosynthetic process,Lipid Metabolism
BP,GO:0071222,cellular response to lipopolysaccharide,Lipid Metabolism
MF,GO:0008235,metalloexopeptidase activity,Metal Binding and Homeostasis
MF,GO:0015172,acidic amino acid transmembrane transporter activity,none
BP,GO:0032494,response to peptidoglycan,none
MF,GO:0042834,peptidoglycan binding,none
BP,GO:0050432,catecholamine secretion,none
BP,GO:0071243,cellular response to arsenic-containing substance,none
BP,GO:0051016,barbed-end actin filament capping,Structural Stabilization
BP,GO:0015812,gamma-aminobutyric acid transport,Synapse
BP,GO:1904358,positive regulation of telomere maintenance via telomere lengthening,Epigenetic
BP,GO:0002371,dendritic cell cytokine production,Immune Response
MF,GO:0048020,CCR chemokine receptor binding,Immune Response
BP,GO:0015918,sterol transport,Lipid Metabolism
BP,GO:0032374,regulation of cholesterol transport,Lipid Metabolism
CC,GO:0034362,low-density lipoprotein particle,Lipid Metabolism
BP,GO:0001710,mesodermal cell fate commitment,none
BP,GO:0006995,cellular response to nitrogen starvation,none
MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,none
BP,GO:0010524,positive regulation of calcium ion transport into cytosol,none
BP,GO:0032060,bleb assembly,none
BP,GO:0032328,alanine transport,none
BP,GO:0043433,negative regulation of DNA-binding transcription factor activity,none
BP,GO:0043562,cellular response to nitrogen levels,none
BP,GO:0044803,multi-organism membrane organization,none
BP,GO:0060192,negative regulation of lipase activity,none
BP,GO:0060252,positive regulation of glial cell proliferation,none
BP,GO:0070169,positive regulation of biomineral tissue development,none
BP,GO:0070266,necroptotic process,none
BP,GO:0110151,positive regulation of biomineralization,none
BP,GO:0002371,dendritic cell cytokine production,Synapse
BP,GO:0014051,gamma-aminobutyric acid secretion,Synapse
BP,GO:0070265,necrotic cell death,Apoptosis
BP,GO:1990000,amyloid fibril formation,APP Metabolism
BP,GO:0044818,mitotic G2/M transition checkpoint,Cell Cycle
BP,GO:1901989,positive regulation of cell cycle phase transition,Cell Cycle
BP,GO:0043967,histone H4 acetylation,Epigenetic
BP,GO:0033344,cholesterol efflux,Lipid Metabolism
CC,GO:0031312,extrinsic component of organelle membrane,none
BP,GO:0032607,interferon-alpha production,none
BP,GO:0035690,cellular response to drug,none
BP,GO:0006310,DNA recombination,Cell Cycle
BP,GO:0003094,glomerular filtration,none
BP,GO:0030007,cellular potassium ion homeostasis,none
BP,GO:0048753,pigment granule organization,none
MF,GO:0051721,protein phosphatase 2A binding,none
BP,GO:0061437,renal system vasculature development,none
BP,GO:1904591,positive regulation of protein import,none
BP,GO:0007019,microtubule depolymerization,Structural Stabilization
